nombre;precio_compra;precio_venta;stock;categoria;codigo;descripcion;stock_minimo
CINTA SATIN DORADO CLARO 2.5CM X 45MTS ;7600;22500;5;piñateria;355;;2
CINTA SATIN VERDE CLARO 2.5CM X 45MTS ;7600;22500;5;piñateria;356;;2
CINTA SATIN DORADO CLARO 2.5CM X 45MTS ;7600;22500;5;piñateria;357;;2
CONFETI DE CORAZONES ROJOS;1200;2500;20;piñateria;358;;4
PAPEL PLASTICO ESTAMPADO FLOR PEQUEÑA;160;800;100;piñateria;359;;20
PAPEL PLASTICO ESTAMPADO MOSTACHO;160;800;100;piñateria;360;;20
PAPEL PLASTICO ESTAMPADO FLOR;160;800;100;piñateria;361;;20
PAPEL PLASTICO ESTAMPADO CORAZON;160;800;100;piñateria;362;;20
BOLSA DE REGALO CON VENTANA MEDIANA;960;2000;12;piñateria;363;;3
BOLSA DE REGALO CON VENTANA GRANDE;2200;3000;12;piñateria;364;;3
BOLSA DE REGALO MENSAJES GRANDE;2400;4000;12;piñateria;365;;3
BOLSA DE REGALO CORAZON MEDIANA;1100;2500;12;piñateria;366;;3
BOLSA DE REGALO CORAZON GRANDE;1400;3000;12;piñateria;367;;3
BOLSA DE REGALO PAPA GRANDE;2200;4000;12;piñateria;368;;3
BOLSA DE REGALO FELIZ CUMPLEAÑOS MEDIANA;880;2000;12;piñateria;369;;3
FESTON DE CUMPLEAÑOS COLGANTE;1300;3500;12;piñateria;370;;3
CAJA DE REGALO CON ROSAS LOVE;8300;12000;2;piñateria;371;;1
SET GLOBOS EQUIPOS FUTBOL;4560;8000;10;piñateria;372;;2
GLOBO DORADO #1;440;1500;12;piñateria;373;;3
GLOBO DORADO #2;440;1500;12;piñateria;374;;3
GLOBO DORADO #3;440;1500;12;piñateria;375;;3
GLOBO DORADO #4;440;1500;12;piñateria;376;;3
GLOBO DORADO #5;440;1500;12;piñateria;377;;3
GLOBO DORADO #8;440;1500;12;piñateria;378;;3
GLOBO DORADO #9;440;1500;12;piñateria;379;;3
GLOBO PLATEADO #1;440;1500;12;piñateria;380;;3
GLOBO PLATEADO #2;440;1500;12;piñateria;381;;3
GLOBO PLATEADO #3;440;1500;12;piñateria;382;;3
GLOBO PLATEADO #4;440;1500;12;piñateria;383;;3
GLOBO PLATEADO #5;440;1500;12;piñateria;384;;3
GLOBO PLATEADO #8;440;1500;12;piñateria;385;;3
GLOBO PLATEADO #9;440;1500;12;piñateria;386;;3
GLOBO DORADO PUNTAS ESTRELLA GRANDE;2760;6000;10;piñateria;387;;2
GLOBO PLATEADO PUNTAS ESTRELLA GRANDE;2760;6000;10;piñateria;388;;2
BANDERIN FUTBOL;1380;4000;10;piñateria;389;;2
FLOR LUMINOSA CON BOLSA;2540;4000;10;piñateria;390;;2
"GLOBO BURBUJA 20""";320;1000;50;piñateria;391;;4
GLOBO MIL FIGURAS X 50;6050;9000;6;piñateria;392;;2
BOMBA FUTBOL R12 X 50;10200;14000;6;piñateria;393;;2
VELA NUMERO AZUL;1380;2500;120;piñateria;394;;20
VELA NUMERO ROSADO;1380;2500;120;piñateria;395;;20
VELA EROTICA CUMPLEAÑOS;3440;5000;12;piñateria;396;;3
;;;;;;;
